"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"DEV412","1997.0","10.0","03/04/1997 09:00:00","03/11/1997 08:00:00","0.109","0.254","0.075","0.599","0.664","0.082","","","","",""
"DEV412","2001.0","11.0","03/13/2001 09:00:00","03/20/2001 08:00:00","","","","","","","","","","",""
"DEV412","1998.0","10.0","03/03/1998 09:00:00","03/10/1998 08:00:00","0.161","2.124","0.376","1.048","1.408","0.185","","","","",""
"DEV412","2002.0","13.0","03/26/2002 09:00:00","04/02/2002 08:00:00","0.173","0.844","0.256","0.756","1.0","0.27","0.442","0.106","0.064","0.064",""
"DEV412","1997.0","13.0","03/25/1997 09:00:00","04/01/1997 08:00:00","0.42","1.086","0.557","1.302","1.838","0.274","","","","",""
"DEV412","2001.0","13.0","03/27/2001 09:00:00","04/03/2001 08:00:00","0.234","1.123","0.725","0.632","1.347","0.322","0.303","0.563","0.048","0.068",""
"DEV412","2005.0","12.0","03/22/2005 09:00:00","03/29/2005 08:00:00","0.177","1.111","0.332","0.35","0.676","0.161","0.603","0.495","0.074","0.041","0.162"
"DEV412","2006.0","10.0","03/07/2006 09:00:00","03/14/2006 08:00:00","0.285","0.562","0.187","0.437","0.616","0.177","0.132","0.102","0.029","0.026","0.046"
"DEV412","2000.0","10.0","03/07/2000 09:00:00","03/14/2000 08:00:00","0.147","0.621","0.277","1.036","1.297","0.194","0.069","0.114","0.018","0.017",""
"DEV412","2005.0","9.0","03/01/2005 09:00:00","03/08/2005 08:00:00","0.185","0.976","0.229","1.369","1.577","0.216","0.234","0.246","0.033","0.024","0.026"
"DEV412","2000.0","13.0","03/28/2000 09:00:00","04/04/2000 08:00:00","0.169","1.15","0.494","1.113","1.589","0.285","0.376","0.284","0.05","0.053",""
"DEV412","1996.0","13.0","03/26/1996 09:00:00","04/02/1996 08:00:00","0.243","0.797","0.379","1.275","1.633","0.168","","","","",""
"DEV412","1995.0","10.0","03/07/1995 09:00:00","03/14/1995 08:00:00","0.261","0.443","0.426","1.411","1.815","0.157","","","","",""
"DEV412","1999.0","11.0","03/09/1999 09:00:00","03/16/1999 08:00:00","0.306","1.172","0.614","1.29","1.883","0.293","","","","",""
"DEV412","1998.0","12.0","03/17/1998 09:00:00","03/24/1998 08:00:00","0.182","0.649","0.228","1.533","1.736","0.22","","","","",""
"DEV412","1999.0","12.0","03/16/1999 09:00:00","03/23/1999 08:00:00","0.276","0.638","0.498","1.849","2.318","0.192","","","","",""
"DEV412","2004.0","11.0","03/09/2004 09:00:00","03/16/2004 08:00:00","0.165","0.614","0.21","0.417","0.62","0.141","0.239","0.231","0.033","0.033","0.033"
"DEV412","2003.0","13.0","03/25/2003 09:00:00","04/01/2003 08:00:00","0.128","0.433","0.187","0.806","0.98","0.145","0.134","0.057","0.02","0.022",""
"DEV412","2003.0","10.0","03/04/2003 09:00:00","03/11/2003 08:00:00","0.254","0.712","0.288","2.83","3.073","0.26","0.136","0.078","0.022","0.027",""
"DEV412","2002.0","10.0","03/05/2002 09:00:00","03/12/2002 08:00:00","0.149","0.825","0.215","0.702","0.906","0.138","0.413","0.317","0.055","0.055",""
"DEV412","2000.0","12.0","03/21/2000 09:00:00","03/28/2000 08:00:00","0.417","1.297","0.817","3.001","3.77","0.383","0.284","0.357","0.044","0.046",""
"DEV412","1996.0","10.0","03/05/1996 09:00:00","03/12/1996 08:00:00","0.155","0.376","0.179","0.669","0.837","0.091","","","","",""
"DEV412","2000.0","11.0","03/14/2000 09:00:00","03/21/2000 08:00:00","0.118","2.498","0.228","0.326","0.549","0.142","0.542","1.814","0.071","0.093",""
"DEV412","1996.0","12.0","03/19/1996 09:00:00","03/26/1996 08:00:00","0.198","0.976","0.527","1.245","1.752","0.209","","","","",""
"DEV412","1998.0","11.0","03/10/1998 09:00:00","03/17/1998 08:00:00","0.238","1.017","0.146","1.561","1.682","0.363","","","","",""
"DEV412","2006.0","11.0","03/14/2006 09:00:00","03/21/2006 08:00:00","0.327","0.677","0.354","0.746","1.088","0.185","0.156","0.154","0.035","0.032","0.045"
"DEV412","2005.0","10.0","03/08/2005 09:00:00","03/15/2005 08:00:00","0.156","0.971","0.192","0.509","0.693","0.167","0.381","0.838","0.048","0.077","0.085"
"DEV412","1999.0","10.0","03/02/1999 09:00:00","03/09/1999 08:00:00","0.176","1.185","1.066","1.77","2.807","0.348","","","","",""
"DEV412","2004.0","10.0","03/02/2004 09:00:00","03/09/2004 08:00:00","0.152","0.614","0.154","0.498","0.644","0.188","0.179","0.067","0.025","0.022","0.029"
"DEV412","2004.0","13.0","03/23/2004 09:00:00","03/30/2004 08:00:00","0.296","1.258","0.419","1.26","1.659","0.322","0.292","0.392","0.037","0.036","0.045"
"DEV412","1999.0","14.0","03/30/1999 09:00:00","04/06/1999 08:00:00","0.176","0.737","0.682","0.919","1.587","0.208","","","","",""
"DEV412","1995.0","12.0","03/21/1995 09:00:00","03/28/1995 08:00:00","0.119","0.57","0.296","0.491","0.779","0.118","","","","",""
"DEV412","1997.0","11.0","03/11/1997 09:00:00","03/18/1997 08:00:00","0.31","0.88","0.226","1.612","1.812","0.237","","","","",""
"DEV412","2002.0","12.0","03/19/2002 09:00:00","03/26/2002 08:00:00","0.154","0.47","0.158","0.897","1.041","0.13","0.213","0.132","0.03","0.026",""
"DEV412","2007.0","13.0","03/27/2007 09:00:00","04/03/2007 08:00:00","0.292","0.863","0.31","0.785","1.083","0.283","0.248","0.201","0.052","0.056","0.139"
"DEV412","2001.0","10.0","03/06/2001 09:00:00","03/13/2001 08:00:00","","","","","","","","","","",""
"DEV412","2004.0","12.0","03/16/2004 09:00:00","03/23/2004 08:00:00","0.273","0.816","0.185","1.617","1.776","0.279","0.259","0.07","0.036","0.035","0.018"
"DEV412","2004.0","14.0","03/30/2004 09:00:00","04/06/2004 08:00:00","0.394","0.828","0.535","1.247","1.762","0.246","0.239","0.222","0.039","0.039","0.041"
"DEV412","1995.0","11.0","03/14/1995 09:00:00","03/21/1995 08:00:00","0.202","0.847","0.346","1.307","1.631","0.22","","","","",""
"DEV412","2007.0","10.0","03/06/2007 09:00:00","03/13/2007 08:00:00","0.199","0.624","0.16","0.944","1.089","0.169","0.227","0.114","0.057","0.047","0.029"
"DEV412","2003.0","12.0","03/18/2003 09:00:00","03/25/2003 08:00:00","0.155","0.451","0.296","0.528","0.816","0.127","0.206","0.147","0.033","0.042",""
"DEV412","1996.0","18.0","04/30/1996 09:00:00","05/07/1996 08:00:00","0.342","0.657","0.286","1.078","1.347","0.225","","","","",""
"DEV412","2005.0","15.0","04/12/2005 09:00:00","04/19/2005 08:00:00","0.447","1.631","0.469","1.147","1.598","0.473","0.557","0.258","0.098","0.083","0.079"
"DEV412","2004.0","17.0","04/20/2004 09:00:00","04/27/2004 08:00:00","0.304","1.727","0.34","0.541","0.873","0.485","0.811","0.31","0.114","0.095","0.198"
"DEV412","2000.0","15.0","04/11/2000 09:00:00","04/18/2000 08:00:00","0.346","0.949","0.471","1.726","2.169","0.283","0.259","0.189","0.041","0.04",""
"DEV412","1997.0","17.0","04/22/1997 09:00:00","04/29/1997 08:00:00","0.411","1.022","0.338","0.72","1.047","0.24","","","","",""
"DEV412","2002.0","14.0","04/02/2002 09:00:00","04/09/2002 08:00:00","0.317","1.533","0.557","2.235","2.756","0.539","0.348","0.158","0.056","0.06",""
"DEV412","2001.0","17.0","04/24/2001 09:00:00","05/01/2001 08:00:00","0.454","1.431","0.42","1.443","1.841","0.487","0.497","0.118","0.069","0.059",""
"DEV412","2000.0","16.0","04/18/2000 09:00:00","04/25/2000 08:00:00","0.209","1.07","0.347","1.393","1.718","0.329","0.285","0.159","0.046","0.039",""
"DEV412","1997.0","14.0","04/01/1997 09:00:00","04/08/1997 08:00:00","0.259","0.952","0.81","0.617","1.417","0.25","","","","",""
"DEV412","2005.0","16.0","04/19/2005 09:00:00","04/26/2005 08:00:00","0.273","0.864","0.368","0.875","1.229","0.279","0.305","0.159","0.07","0.067","0.036"
"DEV412","2001.0","16.0","04/17/2001 09:00:00","04/24/2001 08:00:00","0.274","0.997","0.472","1.062","1.517","0.268","0.462","0.174","0.077","0.054",""
"DEV412","2000.0","14.0","04/04/2000 09:00:00","04/11/2000 08:00:00","0.31","1.165","0.388","1.223","1.592","0.304","0.316","0.285","0.05","0.056",""
"DEV412","2000.0","17.0","04/25/2000 09:00:00","05/02/2000 08:00:00","0.398","1.403","0.527","1.228","1.736","0.388","0.635","0.279","0.104","0.089",""
"DEV412","2004.0","16.0","04/13/2004 09:00:00","04/20/2004 08:00:00","0.575","2.235","0.648","1.447","2.072","0.775","0.335","0.187","0.056","0.071","0.019"
"DEV412","2003.0","14.0","04/01/2003 09:00:00","04/08/2003 08:00:00","0.172","0.935","0.287","0.777","1.052","0.261","0.256","0.217","0.039","0.035",""
"DEV412","2007.0","16.0","04/17/2007 09:00:00","04/24/2007 08:00:00","0.244","0.74","0.373","0.853","1.212","0.219","0.201","0.163","0.052","0.048","0.079"
"DEV412","1995.0","16.0","04/18/1995 09:00:00","04/25/1995 08:00:00","0.222","0.928","0.324","0.623","0.937","0.272","","","","",""
"DEV412","2003.0","17.0","04/22/2003 09:00:00","04/29/2003 08:00:00","0.325","1.013","0.547","1.394","1.919","0.312","0.253","0.215","0.049","0.036",""
"DEV412","1996.0","16.0","04/16/1996 09:00:00","04/23/1996 08:00:00","0.104","0.54","0.268","0.402","0.664","0.148","","","","",""
"DEV412","2001.0","14.0","04/03/2001 09:00:00","04/10/2001 08:00:00","0.291","1.595","0.905","1.212","2.098","0.472","0.277","0.396","0.068","0.051",""
"DEV412","1999.0","18.0","04/27/1999 09:00:00","05/04/1999 08:00:00","0.265","0.964","0.432","0.979","1.395","0.311","","","","",""
"DEV412","2003.0","15.0","04/08/2003 09:00:00","04/15/2003 08:00:00","0.273","0.9","0.338","1.783","2.093","0.246","0.348","0.142","0.048","0.035",""
"DEV412","2002.0","15.0","04/09/2002 09:00:00","04/16/2002 08:00:00","0.264","1.466","0.401","1.195","1.576","0.308","1.051","0.549","0.129","0.109",""
"DEV412","2002.0","16.0","04/16/2002 09:00:00","04/23/2002 08:00:00","0.341","1.182","0.905","0.891","1.782","0.347","0.62","0.433","0.102","0.081",""
"DEV412","2005.0","17.0","04/26/2005 09:00:00","05/03/2005 08:00:00","0.273","1.05","0.214","1.364","1.557","0.38","0.161","0.081","0.033","0.033","0.018"
"DEV412","2004.0","18.0","04/27/2004 09:00:00","05/04/2004 08:00:00","0.316","1.528","0.49","0.51","0.992","0.408","0.743","0.451","0.122","0.117","0.28"
"DEV412","2001.0","15.0","04/10/2001 09:00:00","04/17/2001 08:00:00","0.311","1.643","1.164","1.477","2.618","0.444","1.152","0.346","0.171","0.128",""
"DEV412","2006.0","17.0","04/25/2006 09:00:00","05/02/2006 08:00:00","0.405","1.584","0.616","1.588","2.178","0.52","0.378","0.222","0.072","0.083","0.034"
"DEV412","1995.0","17.0","04/25/1995 09:00:00","05/02/1995 08:00:00","","","","","","","","","","",""
"DEV412","1999.0","15.0","04/06/1999 09:00:00","04/13/1999 08:00:00","0.203","0.677","0.514","0.778","1.28","0.236","","","","",""
"DEV412","1995.0","15.0","04/11/1995 09:00:00","04/18/1995 08:00:00","0.31","1.1","0.545","0.908","1.439","0.237","","","","",""
"DEV412","1997.0","18.0","04/29/1997 09:00:00","05/06/1997 08:00:00","0.404","1.065","0.322","1.01","1.316","0.352","","","","",""
"DEV412","1996.0","14.0","04/02/1996 09:00:00","04/09/1996 08:00:00","0.198","0.532","0.232","0.891","1.109","0.174","","","","",""
"DEV412","1998.0","16.0","04/14/1998 09:00:00","04/21/1998 08:00:00","0.181","0.528","0.138","0.465","0.596","0.181","","","","",""
"DEV412","2007.0","17.0","04/24/2007 09:00:00","05/01/2007 08:00:00","0.378","1.178","0.326","0.862","1.174","0.366","0.3","0.081","0.058","0.045","0.025"
"DEV412","2006.0","15.0","04/11/2006 09:00:00","04/18/2006 08:00:00","0.221","1.0","0.247","1.098","1.328","0.317","0.218","0.109","0.048","0.044","0.042"
"DEV412","2007.0","15.0","04/10/2007 09:00:00","04/17/2007 08:00:00","0.187","0.732","0.378","0.326","0.699","0.17","0.326","0.207","0.074","0.061","0.145"
"DEV412","2002.0","17.0","04/23/2002 09:00:00","04/30/2002 08:00:00","0.29","1.099","0.667","1.641","2.281","0.362","0.285","0.187","0.063","0.053",""
"DEV412","1999.0","17.0","04/20/1999 09:00:00","04/27/1999 08:00:00","0.239","0.784","0.334","0.905","1.224","0.269","","","","",""
"DEV412","2006.0","16.0","04/18/2006 09:00:00","04/25/2006 08:00:00","0.257","1.073","0.588","1.466","2.03","0.33","0.32","0.161","0.076","0.059","0.032"
"DEV412","2005.0","14.0","04/05/2005 09:00:00","04/12/2005 08:00:00","0.249","1.276","0.339","0.466","0.797","0.317","0.481","0.419","0.063","0.068","0.19"
"DEV412","1998.0","17.0","04/21/1998 09:00:00","04/28/1998 08:00:00","0.391","0.275","0.114","0.259","0.369","0.099","","","","",""
"DEV412","1999.0","16.0","04/13/1999 09:00:00","04/20/1999 08:00:00","0.199","0.8","0.211","0.978","1.173","0.261","","","","",""
"DEV412","2007.0","14.0","04/03/2007 09:00:00","04/10/2007 08:00:00","0.352","1.05","0.403","1.819","2.193","0.344","0.271","0.142","0.058","0.058","0.046"
"DEV412","2003.0","18.0","04/29/2003 09:00:00","05/06/2003 08:00:00","0.305","0.69","0.422","1.011","1.417","0.214","0.206","0.201","0.049","0.044",""
"DEV412","1998.0","18.0","04/28/1998 09:00:00","05/05/1998 08:00:00","0.208","0.933","0.473","1.355","1.806","0.258","","","","",""
"DEV412","1996.0","17.0","04/23/1996 09:00:00","04/30/1996 08:00:00","0.166","0.692","0.272","0.551","0.814","0.18","","","","",""
"DEV412","2002.0","18.0","04/30/2002 09:00:00","05/07/2002 08:00:00","0.495","1.202","0.588","2.012","2.568","0.424","0.339","0.165","0.06","0.05",""
"DEV412","1995.0","14.0","04/04/1995 09:00:00","04/11/1995 08:00:00","0.293","1.037","0.292","1.126","1.4","0.23","","","","",""
"DEV412","1997.0","16.0","04/15/1997 09:00:00","04/22/1997 08:00:00","0.653","0.831","0.243","1.286","1.509","0.27","","","","",""
"DEV412","1997.0","15.0","04/08/1997 09:00:00","04/15/1997 08:00:00","0.226","1.239","0.323","0.797","1.108","0.403","","","","",""
"DEV412","2006.0","14.0","04/04/2006 09:00:00","04/11/2006 08:00:00","0.281","0.625","0.285","1.112","1.38","0.215","0.087","0.12","0.021","0.015","0.045"
"DEV412","2004.0","15.0","04/06/2004 09:00:00","04/13/2004 08:00:00","0.352","1.254","0.381","0.999","1.363","0.428","0.25","0.159","0.046","0.052","0.06"
"DEV412","1996.0","15.0","04/09/1996 09:00:00","04/16/1996 08:00:00","0.253","0.944","0.434","1.211","1.625","0.278","","","","",""
"DEV412","2003.0","16.0","04/15/2003 09:00:00","04/22/2003 08:00:00","0.244","0.858","0.412","1.905","2.287","0.264","0.286","0.179","0.052","0.037",""
"DEV412","1998.0","15.0","04/07/1998 09:00:00","04/14/1998 08:00:00","0.38","0.924","0.373","1.547","1.896","0.24","","","","",""
"DEV412","1996.0","21.0","05/21/1996 09:00:00","05/28/1996 08:00:00","0.26","0.971","0.421","0.889","1.296","0.286","","","","",""
"DEV412","2006.0","18.0","05/02/2006 09:00:00","05/09/2006 08:00:00","0.57","1.993","0.756","1.591","2.321","0.647","0.36","0.285","0.084","0.078","0.046"
"DEV412","2005.0","20.0","05/17/2005 09:00:00","05/24/2005 08:00:00","0.381","1.135","0.367","1.002","1.353","0.287","0.365","0.388","0.077","0.073","0.181"
"DEV412","2004.0","22.0","05/25/2004 09:00:00","06/01/2004 08:00:00","0.501","1.228","0.488","1.33","1.797","0.437","0.229","0.175","0.042","0.041","0.039"
"DEV412","1998.0","21.0","05/19/1998 09:00:00","05/26/1998 08:00:00","0.575","1.021","0.349","1.49","1.815","0.373","","","","",""
"DEV412","1998.0","19.0","05/05/1998 09:00:00","05/12/1998 08:00:00","0.239","0.995","0.429","1.341","1.749","0.342","","","","",""
"DEV412","2002.0","20.0","05/14/2002 09:00:00","05/21/2002 08:00:00","0.708","1.38","0.902","2.188","3.055","0.5","0.441","0.31","0.082","0.076",""
"DEV412","2001.0","18.0","05/01/2001 09:00:00","05/08/2001 08:00:00","0.395","0.994","0.391","0.699","1.079","0.257","0.372","0.483","0.062","0.076",""
"DEV412","2006.0","19.0","05/09/2006 09:00:00","05/16/2006 08:00:00","0.615","1.672","0.527","1.261","1.768","0.567","0.382","0.138","0.079","0.078","0.016"
"DEV412","2007.0","18.0","05/01/2007 09:00:00","05/08/2007 08:00:00","0.318","1.391","0.347","0.54","0.879","0.328","0.543","0.429","0.116","0.109","0.28"
"DEV412","2000.0","22.0","05/30/2000 09:00:00","06/06/2000 08:00:00","0.811","1.142","0.486","1.865","2.321","0.414","0.235","0.15","0.04","0.05",""
"DEV412","2003.0","22.0","05/27/2003 09:00:00","06/03/2003 08:00:00","0.752","1.941","0.485","1.481","1.942","0.717","0.288","0.134","0.047","0.06",""
"DEV412","2000.0","21.0","05/23/2000 09:00:00","05/30/2000 08:00:00","0.599","1.022","0.471","1.468","1.915","0.375","0.288","0.129","0.046","0.049",""
"DEV412","1999.0","19.0","05/04/1999 09:00:00","05/11/1999 08:00:00","0.462","1.224","0.365","1.157","1.503","0.384","","","","",""
"DEV412","2003.0","20.0","05/13/2003 09:00:00","05/20/2003 08:00:00","0.572","1.579","0.571","1.531","2.078","0.5","0.517","0.244","0.085","0.075",""
"DEV412","2006.0","22.0","05/30/2006 09:00:00","06/06/2006 08:00:00","0.651","1.115","0.215","1.272","1.467","0.417","0.177","0.052","0.03","0.037","0.015"
"DEV412","2007.0","22.0","05/29/2007 09:00:00","06/05/2007 08:00:00","0.778","1.823","0.701","1.897","2.568","0.659","0.347","0.194","0.068","0.089","0.016"
"DEV412","2003.0","19.0","05/06/2003 09:00:00","05/13/2003 08:00:00","0.303","1.029","0.335","1.627","1.937","0.356","0.152","0.117","0.031","0.034",""
"DEV412","2007.0","20.0","05/15/2007 09:00:00","05/22/2007 08:00:00","0.844","2.182","0.864","2.066","2.897","0.673","0.395","0.321","0.098","0.095","0.044"
"DEV412","2005.0","22.0","05/31/2005 09:00:00","06/07/2005 08:00:00","0.705","1.491","0.626","1.477","2.079","0.515","0.411","0.288","0.066","0.083","0.073"
"DEV412","2005.0","18.0","05/03/2005 09:00:00","05/10/2005 08:00:00","0.386","1.284","0.276","1.451","1.703","0.446","0.274","0.116","0.043","0.046","0.03"
"DEV412","2002.0","22.0","05/28/2002 09:00:00","06/04/2002 08:00:00","0.569","1.597","0.508","1.732","2.213","0.556","0.368","0.193","0.068","0.069",""
"DEV412","2007.0","19.0","05/08/2007 09:00:00","05/15/2007 08:00:00","0.615","1.431","0.482","1.745","2.199","0.506","0.309","0.16","0.086","0.098","0.023"
"DEV412","1995.0","22.0","05/30/1995 09:00:00","06/06/1995 08:00:00","0.478","1.37","0.517","1.585","2.077","0.4","","","","",""
"DEV412","2005.0","19.0","05/10/2005 09:00:00","05/17/2005 08:00:00","0.353","1.018","0.199","0.996","1.179","0.315","0.279","0.151","0.043","0.043","0.05"
"DEV412","1997.0","22.0","05/27/1997 09:00:00","06/03/1997 08:00:00","0.72","1.084","0.395","1.993","2.356","0.414","","","","",""
"DEV412","2001.0","21.0","05/22/2001 09:00:00","05/29/2001 08:00:00","0.604","1.254","0.431","1.75","2.153","0.469","0.34","0.105","0.044","0.05",""
"DEV412","1999.0","22.0","05/25/1999 09:00:00","06/01/1999 08:00:00","0.605","1.596","0.701","1.751","2.423","0.524","","","","",""
"DEV412","1999.0","21.0","05/18/1999 09:00:00","05/25/1999 08:00:00","0.485","1.447","0.8","1.891","2.66","0.399","","","","",""
"DEV412","1998.0","22.0","05/26/1998 09:00:00","06/02/1998 08:00:00","0.547","0.806","0.461","1.962","2.392","0.282","","","","",""
"DEV412","2001.0","22.0","05/29/2001 09:00:00","06/05/2001 08:00:00","0.511","1.095","0.454","0.882","1.322","0.335","0.399","0.265","0.058","0.073",""
"DEV412","1996.0","19.0","05/07/1996 09:00:00","05/14/1996 08:00:00","0.582","0.992","0.429","1.679","2.082","0.343","","","","",""
"DEV412","2004.0","20.0","05/11/2004 09:00:00","05/18/2004 08:00:00","0.598","1.029","0.509","1.294","1.782","0.35","0.281","0.183","0.053","0.056","0.057"
"DEV412","1999.0","20.0","05/11/1999 09:00:00","05/18/1999 08:00:00","0.415","1.239","0.437","1.167","1.586","0.359","","","","",""
"DEV412","2002.0","19.0","05/07/2002 09:00:00","05/14/2002 08:00:00","0.287","1.276","0.65","0.556","1.197","0.299","0.963","0.585","0.169","0.154",""
"DEV412","1997.0","20.0","05/13/1997 09:00:00","05/20/1997 08:00:00","0.465","1.201","0.347","1.493","1.816","0.425","","","","",""
"DEV412","1998.0","20.0","05/12/1998 09:00:00","05/19/1998 08:00:00","0.431","0.777","0.356","1.362","1.696","0.254","","","","",""
"DEV412","1995.0","20.0","05/16/1995 09:00:00","05/23/1995 08:00:00","0.683","1.767","0.474","2.948","3.375","0.611","","","","",""
"DEV412","2000.0","19.0","05/09/2000 09:00:00","05/16/2000 08:00:00","0.32","0.883","0.391","1.06","1.434","0.269","0.493","0.206","0.051","0.06",""
"DEV412","2002.0","21.0","05/21/2002 09:00:00","05/28/2002 08:00:00","0.48","0.787","0.349","1.759","2.08","0.3","0.189","0.136","0.035","0.03",""
"DEV412","2000.0","18.0","05/02/2000 09:00:00","05/09/2000 08:00:00","0.737","1.237","0.448","1.59","2.013","0.408","0.465","0.163","0.056","0.056",""
"DEV412","1997.0","19.0","05/06/1997 09:00:00","05/13/1997 08:00:00","0.308","1.051","0.414","1.452","1.843","0.322","","","","",""
"DEV412","1995.0","19.0","05/09/1995 09:00:00","05/16/1995 08:00:00","0.321","1.512","0.624","1.196","1.8","0.387","","","","",""
"DEV412","1995.0","21.0","05/23/1995 09:00:00","05/30/1995 08:00:00","0.139","0.764","0.166","0.682","0.837","0.24","","","","",""
"DEV412","2006.0","20.0","05/16/2006 09:00:00","05/23/2006 08:00:00","0.332","1.199","0.356","1.233","1.569","0.379","0.428","0.215","0.101","0.085","0.11"
"DEV412","1996.0","22.0","05/28/1996 09:00:00","06/04/1996 08:00:00","0.451","1.09","0.648","1.499","2.123","0.373","","","","",""
"DEV412","1995.0","18.0","05/02/1995 09:00:00","05/09/1995 08:00:00","0.233","1.151","0.557","1.211","1.748","0.343","","","","",""
"DEV412","2001.0","20.0","05/15/2001 09:00:00","05/22/2001 08:00:00","0.409","1.075","0.282","1.45","1.709","0.396","0.32","0.089","0.043","0.044",""
"DEV412","2004.0","19.0","05/04/2004 09:00:00","05/11/2004 08:00:00","0.617","1.461","0.666","1.381","2.025","0.458","0.557","0.235","0.085","0.084","0.069"
"DEV412","2004.0","21.0","05/18/2004 09:00:00","05/25/2004 08:00:00","0.81","1.883","1.015","1.833","2.819","0.631","0.744","0.337","0.133","0.097","0.1"
"DEV412","1997.0","21.0","05/20/1997 09:00:00","05/27/1997 08:00:00","0.473","0.891","0.408","1.387","1.773","0.3","","","","",""
"DEV412","2001.0","19.0","05/08/2001 09:00:00","05/15/2001 08:00:00","0.499","1.117","0.394","1.678","2.045","0.389","0.362","0.112","0.056","0.043",""
"DEV412","1996.0","20.0","05/14/1996 09:00:00","05/21/1996 08:00:00","0.35","1.238","0.593","0.928","1.506","0.364","","","","",""
"DEV412","2003.0","21.0","05/20/2003 09:00:00","05/27/2003 08:00:00","0.744","1.595","0.481","1.74","2.193","0.583","0.084","0.01","0.022","0.038",""
"DEV412","2007.0","21.0","05/22/2007 09:00:00","05/29/2007 08:00:00","0.657","1.527","0.405","1.898","2.273","0.56","0.218","0.116","0.044","0.049","0.016"
"DEV412","2005.0","21.0","05/24/2005 09:00:00","05/31/2005 08:00:00","0.64","1.413","0.503","1.688","2.164","0.492","0.296","0.221","0.051","0.059","0.034"
"DEV412","2006.0","21.0","05/23/2006 09:00:00","05/30/2006 08:00:00","0.372","1.118","0.356","1.345","1.679","0.398","0.211","0.146","0.044","0.051","0.057"
"DEV412","2000.0","20.0","05/16/2000 09:00:00","05/23/2000 08:00:00","0.219","0.862","0.256","0.927","1.168","0.296","0.335","0.074","0.043","0.035",""
"DEV412","1997.0","26.0","06/24/1997 09:00:00","07/01/1997 08:00:00","0.667","0.969","0.636","1.999","2.603","0.303","","","","",""
"DEV412","2007.0","24.0","06/12/2007 09:00:00","06/19/2007 08:00:00","0.931","1.879","0.966","2.168","3.1","0.661","0.411","0.338","0.093","0.096","0.047"
"DEV412","2006.0","23.0","06/06/2006 09:00:00","06/13/2006 08:00:00","0.633","1.499","0.638","1.681","2.292","0.524","0.254","0.178","0.049","0.055","0.016"
"DEV412","1999.0","24.0","06/08/1999 09:00:00","06/15/1999 08:00:00","0.862","1.396","0.778","2.792","3.525","0.451","","","","",""
